tag,word
-,-
-,-
-,-
-,-
-,-
*,cuanto
*,cuesta
*,el
*,modelo
MODELO,MODELO
-,-
-,-
-,-
-,-
-,-
*,quiero
*,un
*,coche
COLOR,COLOR
-,-
-,-
-,-
-,-
-,-
*,quiero
*,un
*,coche
*,del
ANIO,num
-,-
-,-
-,-
-,-
-,-
-,-
*,quiero
*,un
*,coche
*,marca
MARCA,MARCA
-,-
-,-
-,-
-,-
-,-
*,un
*,coche
*,de
*,precio
*,maximo
PRECIO,num
-,-
-,-
-,-
-,-
*,un
*,coche
*,que
*,sea
*,de
*,precio
*,mínimo
PRECIO,PRECIO
-,-
-,-
-,-
-,-
*,que
*,no
*,sea
*,color
COLOR,COLOR
-,-
-,-
-,-
-,-
*,me
*,gusta
*,el
*,modelo
MODELO,MODELO
-,-
-,-
-,-
-,-
-,-
-,de
-,preferencia
-,de
*,color
COLOR,COLOR
-,-
-,-
-,-
-,-
-,-
*,de
*,preferencia
*,anio
ANIO,ANIO
-,-
-,-
-,-
-,-
-,-
*,mi
*,presupuesto
*,es
*,de
PRECIO,PRECIO
-,-
-,-
-,-
-,-
-,-
*,mi
*,color
*,favorito
*,es
*,el
COLOR,COLOR
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
*,modelo
MODELO,MODELO
-,-
-,-
-,-
-,-
-,-
*,el
*,precio
*,menor
*,a
PRECIO,PRECIO
-,-
-,-
-,-
-,-
-,-
*,precio
*,mínimo
*,es
*,de
PRECIO,PRECIO
-,-
-,-
-,-
-,-
-,-
*,que
*,modelo
*,tienes
*,de
MARCA,MARCA
-,-
-,-
-,-
-,-
*,que
*,otro
*,modelo
*,de
MARCA,MARCA
*,tienes
-,-
-,-
-,-
-,-
-,-
*,cual
*,es
*,el
*,precio
*,de
MODELO,MODELO
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
*,que
*,modelos
ANIO,ANIO
*,tienes
-,-
-,-
-,-
-,-
-,
*,que
*,modelos
ANIO,ANIO
*,tienes
*,de
MARCA,MARCA
-,-
-,-
-,-
-,-
-,-
*,que
*,autos
TIPO,deportivos
*,de
MARCA,MARCA
*,tienes
-,-
-,-
-,-
-,-
*,un
*,carro
*,color
COLOR,COLOR
-,-
-,-
-,-
-,-
-,-